timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
340441178,340440899,0.009102808,-0.012958824,0.0012406338,0.36095926,0.0,0.0,0.0,-1.0
340541127,340540910,0.016735585,-0.008233981,-0.0017024912,0.42278972,0.0,0.0,0.0,-1.0
340645173,340644884,0.010295999,-0.012891143,0.0072090677,0.48375276,0.0,0.0,0.0,-1.0
340745011,340744882,-0.0045861546,-0.04872583,0.0019513688,0.5335077,0.0,0.0,0.0,-1.0
340845113,340844882,0.009933526,-0.05146214,0.01937207,0.5494638,0.0,0.0,0.0,-1.0
340949226,340948906,-0.003961386,-0.04688573,0.041745353,0.5427562,0.0,0.0,0.0,-1.0
341049222,341048882,0.0017541237,-0.046978977,0.062321197,0.53280294,0.0,0.0,0.0,-1.0
341149961,341149683,-0.003316654,-0.029873332,0.082395814,0.53422934,0.0,0.0,0.0,-1.0
341253901,341253688,0.0050570956,-0.028179705,0.09818029,0.54258955,0.0,0.0,0.0,-1.0
341353816,341353683,0.0004579341,-0.027547557,0.11194768,0.49538472,0.0,0.0,0.0,-1.0
341453942,341453683,0.0035894632,-0.026417164,0.121668056,0.46066037,0.0,0.0,0.0,-1.0
341558001,341557715,0.0036849934,-0.026208354,0.12651464,0.43824527,0.0,0.0,0.0,-1.0
341657968,341657689,0.0027762682,-0.025033763,0.12742186,0.43100637,0.0,0.0,0.0,-1.0
341761958,341761682,0.0035383285,-0.024989009,0.12764381,0.4291574,0.0,0.0,0.0,-1.0
341861935,341861708,0.0029044107,-0.023962446,0.12542297,0.4315759,0.0,0.0,0.0,-1.0
341961810,341961682,0.0025033294,-0.029596647,0.1224217,0.43508837,0.0,0.0,0.0,-1.0
342065949,342065695,-0.0026083812,-0.02998329,0.12012638,0.43583813,0.0,0.0,0.0,-1.0
342165811,342165682,-0.0020453068,-0.028624743,0.11507086,0.43733245,0.0,0.0,0.0,-1.0
342265990,342265694,0.002605025,-0.029120276,0.112751625,0.43767175,0.0,0.0,0.0,-1.0
342370031,342369727,-0.0002715229,-0.028443238,0.10868049,0.4377919,0.0,0.0,0.0,-1.0
342473937,342473688,-0.004102734,-0.026531387,0.106795065,0.4379366,0.0,0.0,0.0,-1.0
342573908,342573682,-0.0004762747,-0.027318632,0.10465693,0.43866295,0.0,0.0,0.0,-1.0
342678002,342677689,0.0018501964,-0.03320126,0.10209455,0.43969688,0.0,0.0,0.0,-1.0
342777962,342777682,0.003571294,-0.033596706,0.1010557,0.4389348,0.0,0.0,0.0,-1.0
342881907,342881689,0.0022845073,-0.031407006,0.10144206,0.43817717,0.0,0.0,0.0,-1.0
342982021,342981718,0.0017087809,-0.031606432,0.10069158,0.43820027,0.0,0.0,0.0,-1.0
343081960,343081682,-0.0011678099,-0.031155065,0.10116307,0.4388906,0.0,0.0,0.0,-1.0
343185915,343185727,0.002311417,-0.029479064,0.10142875,0.43924755,0.0,0.0,0.0,-1.0
343285875,343285685,-0.001961544,-0.033533525,0.103570186,0.4383172,0.0,0.0,0.0,-1.0
343385902,343385690,0.0012283183,-0.033234637,0.10241492,0.43820646,0.0,0.0,0.0,-1.0
343489817,343489682,0.0009277819,-0.03225198,0.10196557,0.43773,0.0,0.0,0.0,-1.0
343589810,343589682,-0.0057891984,-0.029432876,0.10210973,0.43660602,0.0,0.0,0.0,-1.0
343693959,343693682,-0.004167719,-0.03399002,0.10200297,0.43802485,0.0,0.0,0.0,-1.0
343793980,343793699,0.00041605666,-0.036669675,0.10272273,0.43894207,0.0,0.0,0.0,-1.0
343893812,343893682,-0.006393313,-0.034793463,0.101553455,0.43879548,0.0,0.0,0.0,-1.0
343997995,343997682,0.0018793347,-0.034026112,0.102654435,0.4390138,0.0,0.0,0.0,-1.0
344097987,344097682,-0.0012875763,-0.032704525,0.10239881,0.43798304,0.0,0.0,0.0,-1.0
344198061,344197689,-0.001435294,-0.03562825,0.102942586,0.4373322,0.0,0.0,0.0,-1.0
344302615,344302482,-0.0026440264,-0.034415506,0.102279246,0.41998765,0.0,0.0,0.0,-1.0
344406613,344406483,-0.0058003645,-0.037724562,0.10119795,0.36579606,0.0,0.0,0.0,-1.0
344506711,344506482,-0.0012381427,-0.03816603,0.100186184,0.33059633,0.0,0.0,0.0,-1.0
344610881,344610526,-0.0025095693,-0.033837575,0.09724449,0.31013238,0.0,0.0,0.0,-1.0
344710713,344710483,0.002606663,-0.03379868,0.09482122,0.30512935,0.0,0.0,0.0,-1.0
344810836,344810482,0.0049281996,-0.02846855,0.091058426,0.3095386,0.0,0.0,0.0,-1.0
344914617,344914482,0.002375442,-0.03148434,0.085412554,0.31861618,0.0,0.0,0.0,-1.0
345014724,345014515,0.0015891939,-0.029914897,0.08253064,0.32903627,0.0,0.0,0.0,-1.0
345114776,345114481,-0.0043926565,-0.030012785,0.080811046,0.3363463,0.0,0.0,0.0,-1.0
345218785,345218530,0.003982149,-0.034678984,0.080326304,0.34447503,0.0,0.0,0.0,-1.0
345318739,345318487,-0.0044223713,-0.034547094,0.07944598,0.3499189,0.0,0.0,0.0,-1.0
345422619,345422489,0.00030340283,-0.035025734,0.08047354,0.35538623,0.0,0.0,0.0,-1.0
345730616,345730482,0.035662517,-0.04374967,0.08587027,0.36685395,0.0,0.0,0.0,1.0
345830649,345830489,0.015879186,-0.03251363,0.089779876,0.36705333,0.0,0.0,0.0,1.0
345930617,345930482,0.00057585863,-0.03217269,0.09320512,0.3742038,0.0,0.0,0.0,1.0
346034774,346034489,-0.007422801,-0.03851669,0.09574566,0.38536072,0.0,0.0,0.0,1.0
346134611,346134482,0.0036045737,-0.03514825,0.09870313,0.39481843,0.0,0.0,0.0,1.0
346234613,346234483,0.00420022,-0.038928013,0.0992265,0.4022919,0.0,0.0,0.0,1.0
