timestamp,previous.timestamp,previous.lat,previous.lon,previous.x,previous.y,previous.z,previous.vx,previous.vy,previous.vz,previous.alt,previous.yaw,previous.yawspeed,previous.loiter_radius,previous.pitch_min,previous.a_x,previous.a_y,previous.a_z,previous.acceptance_radius,previous.cruising_speed,previous.cruising_throttle,previous.valid,previous.type,previous.position_valid,previous.velocity_valid,previous.velocity_frame,previous.alt_valid,previous.yaw_valid,previous.yawspeed_valid,previous.loiter_direction,previous.acceleration_valid,previous.acceleration_is_force,previous._padding0,current.timestamp,current.lat,current.lon,current.x,current.y,current.z,current.vx,current.vy,current.vz,current.alt,current.yaw,current.yawspeed,current.loiter_radius,current.pitch_min,current.a_x,current.a_y,current.a_z,current.acceptance_radius,current.cruising_speed,current.cruising_throttle,current.valid,current.type,current.position_valid,current.velocity_valid,current.velocity_frame,current.alt_valid,current.yaw_valid,current.yawspeed_valid,current.loiter_direction,current.acceleration_valid,current.acceleration_is_force,current._padding0,next.timestamp,next.lat,next.lon,next.x,next.y,next.z,next.vx,next.vy,next.vz,next.alt,next.yaw,next.yawspeed,next.loiter_radius,next.pitch_min,next.a_x,next.a_y,next.a_z,next.acceptance_radius,next.cruising_speed,next.cruising_throttle,next.valid,next.type,next.position_valid,next.velocity_valid,next.velocity_frame,next.alt_valid,next.yaw_valid,next.yawspeed_valid,next.loiter_direction,next.acceleration_valid,next.acceleration_is_force,next._padding0
339254325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0,0,0,0,0,0,0,0,0,0,37.24625702870921,126.66716375388243,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-1.010765,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,37.246808099999996,126.66720029999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
345654343,0,37.24625702870921,126.66716375388243,0.0,0.0,0.0,0.0,0.0,0.0,15.0,-1.010765,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,3,0,0,0,0,1,0,-1,0,0,0,0,37.246808099999996,126.66720029999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.246808099999996,126.667189,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
358701322,0,37.246808099999996,126.66720029999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.246808099999996,126.667189,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2468082,126.6648353,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
358804808,0,37.246808099999996,126.667189,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2468082,126.6648353,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2468082,126.664824,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
403537259,0,37.246808099999996,126.667189,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2468082,126.6648353,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2468082,126.664824,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
403737493,0,37.2468082,126.664824,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.6648194,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66483059999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
409250229,0,37.2467182,126.6648194,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66483059999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66718039999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
409417219,0,37.2467182,126.6648194,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66483059999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66718039999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,0,0,0,0,0,0,0,0,-1,0,0,0
409464397,0,37.2467182,126.66483059999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66718039999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66719169999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
453144650,0,37.2467182,126.66483059999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66718039999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0,0,37.2467182,126.66719169999999,0.0,0.0,0.0,0.0,0.0,0.0,15.0,nan,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,1,0,0,0,0,0,0,0,-1,0,0,0
