timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust,landing_gear,q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,disable_mc_yaw_control,apply_flaps
340442400,0.0002517325,0.0029666014,-1.010765,0.0,0.8749884,0.00082825945,0.0012369346,-0.4841418,0.3637974,-1.0,1,0,0,0,0,0,0
340542193,0.0007360826,0.005233879,-1.010765,0.0,0.8749858,0.0015890005,0.002111608,-0.48414138,0.42536867,-1.0,1,0,0,0,0,0,0
340646262,-0.008153936,-0.00016065406,-1.010765,0.0,0.87498194,-0.003606183,0.0019035416,-0.48413837,0.48520082,-1.0,1,0,0,0,0,0,0
340746814,-0.008176814,-0.0060445433,-1.010765,0.0,0.87497205,-0.005040481,-0.00066507404,-0.48414674,0.5356168,-1.0,1,0,0,0,0,0,0
340846173,-0.012720932,-0.010129302,-1.010765,0.0,0.8749448,-0.008017182,-0.0013520976,-0.48415434,0.54769033,-1.0,1,0,0,0,0,0,0
340950911,-0.022485334,-0.017287102,-1.010765,0.0,0.8748543,-0.01402103,-0.002119712,-0.4841785,0.54313266,-1.0,1,0,0,0,0,0,0
341051183,-0.027429933,-0.025204476,-1.010765,0.0,0.8747539,-0.01809966,-0.004386238,-0.48420942,0.53331137,-1.0,1,0,0,0,0,0,0
341151042,-0.035381574,-0.030454347,-1.010765,0.0,0.8746206,-0.022847328,-0.0047575994,-0.48424596,0.53308225,-1.0,1,0,0,0,0,0,0
341255041,-0.03875655,-0.035005897,-1.010765,0.0,0.87452686,-0.025424015,-0.005931421,-0.48427388,0.538991,-1.0,1,0,0,0,0,0,0
341355170,-0.04631853,-0.04136767,-1.010765,0.0,0.8743357,-0.030268481,-0.0068830154,-0.48432782,0.49305803,-1.0,1,0,0,0,0,0,0
341454999,-0.051423974,-0.045042343,-1.010765,0.0,0.8741981,-0.033388454,-0.0072538783,-0.484366,0.45769536,-1.0,1,0,0,0,0,0,0
341559621,-0.057623368,-0.04698825,-1.010765,0.0,0.87405723,-0.0365682,-0.0066035157,-0.48439983,0.439314,-1.0,1,0,0,0,0,0,0
341659206,-0.06257024,-0.04414828,-1.010765,0.0,0.8740139,-0.03804394,-0.0041633346,-0.48439148,0.42994362,-1.0,1,0,0,0,0,0,0
341763613,-0.06673835,-0.043399766,-1.010765,0.0,0.8739459,-0.039684538,-0.0028264823,-0.48439214,0.42956862,-1.0,1,0,0,0,0,0,0
341863735,-0.068938576,-0.041371383,-1.010765,0.0,0.8739374,-0.04015599,-0.0014065555,-0.4843748,0.43262726,-1.0,1,0,0,0,0,0,0
341963363,-0.07188548,-0.037712287,-1.010765,0.0,0.87394077,-0.04055977,0.0009072634,-0.4843363,0.43434685,-1.0,1,0,0,0,0,0,0
342067196,-0.07091834,-0.03770336,-1.010765,0.0,0.87396044,-0.040135,0.00067695614,-0.48433658,0.43686607,-1.0,1,0,0,0,0,0,0
342167019,-0.07298197,-0.03792183,-1.010765,0.0,0.8739148,-0.04108952,0.0010811675,-0.48433813,0.43655095,-1.0,1,0,0,0,0,0,0
342267811,-0.07451509,-0.0373676,-1.010765,0.0,0.8738926,-0.04162554,0.0016947965,-0.48433068,0.43718487,-1.0,1,0,0,0,0,0,0
342372119,-0.0741384,-0.038620815,-1.010765,0.0,0.8738788,-0.04176366,0.0010555629,-0.48434544,0.43773347,-1.0,1,0,0,0,0,0,0
342475376,-0.07302247,-0.03839827,-1.010765,0.0,0.8739058,-0.041222297,0.00088263303,-0.48434347,0.43811634,-1.0,1,0,0,0,0,0,0
342574979,-0.07441136,-0.037460588,-1.010765,0.0,0.87389314,-0.041602675,0.0016290173,-0.48433176,0.43868145,-1.0,1,0,0,0,0,0,0
342679583,-0.07344711,-0.037311584,-1.010765,0.0,0.8739157,-0.041145343,0.0014606636,-0.48433083,0.43791282,-1.0,1,0,0,0,0,0,0
342779601,-0.07039087,-0.039481316,-1.010765,0.0,0.8739408,-0.040334027,-0.0002282918,-0.4843559,0.43865132,-1.0,1,0,0,0,0,0,0
342883520,-0.07095521,-0.03972675,-1.010765,0.0,0.8739252,-0.040639907,-0.00019894923,-0.48435843,0.4380218,-1.0,1,0,0,0,0,0,0
342983607,-0.06934605,-0.038629446,-1.010765,0.0,0.8739762,-0.039671663,-0.00010878975,-0.48434672,0.43782252,-1.0,1,0,0,0,0,0,0
343083398,-0.068528585,-0.040528435,-1.010765,0.0,0.87396014,-0.0397732,-0.0011372169,-0.48436594,0.4388984,-1.0,1,0,0,0,0,0,0
343187192,-0.067379214,-0.040360656,-1.010765,0.0,0.8739857,-0.039230414,-0.0013422017,-0.48436368,0.43808678,-1.0,1,0,0,0,0,0,0
343286924,-0.0641131,-0.04008428,-1.010765,0.0,0.8740532,-0.03773632,-0.002012324,-0.48435822,0.43857798,-1.0,1,0,0,0,0,0,0
343390999,-0.06469814,-0.040057056,-1.010765,0.0,0.8740426,-0.037985407,-0.0018587356,-0.48435855,0.43768686,-1.0,1,0,0,0,0,0,0
343491585,-0.06490658,-0.03980232,-1.010765,0.0,0.87404287,-0.038014963,-0.0016968473,-0.4843563,0.43675765,-1.0,1,0,0,0,0,0,0
343591142,-0.062542886,-0.04011797,-1.010765,0.0,0.874082,-0.037058212,-0.0024073336,-0.4843568,0.43749726,-1.0,1,0,0,0,0,0,0
343694959,-0.062162556,-0.038957383,-1.010765,0.0,0.8741078,-0.036611553,-0.0019918587,-0.48434612,0.43762657,-1.0,1,0,0,0,0,0,0
343795808,-0.06357186,-0.038721614,-1.010765,0.0,0.8740856,-0.037170522,-0.001547453,-0.48434526,0.4382018,-1.0,1,0,0,0,0,0,0
343894952,-0.060536537,-0.03776608,-1.010765,0.0,0.874156,-0.035613,-0.0018646129,-0.48433414,0.43915495,-1.0,1,0,0,0,0,0,0
343999507,-0.061776266,-0.03740213,-1.010765,0.0,0.8741394,-0.036066893,-0.0014052205,-0.48433194,0.43820304,-1.0,1,0,0,0,0,0,0
344099536,-0.06133508,-0.03850061,-1.010765,0.0,0.87413013,-0.03613952,-0.0019924822,-0.48434126,0.43844336,-1.0,1,0,0,0,0,0,0
344199587,-0.06022928,-0.037855227,-1.010765,0.0,0.87416005,-0.03550024,-0.0019780104,-0.48433462,0.43721247,-1.0,1,0,0,0,0,0,0
344304541,-0.061607417,-0.03853346,-1.010765,0.0,0.87412465,-0.036266487,-0.0019408957,-0.48434183,0.41707888,-1.0,1,0,0,0,0,0,0
344407988,-0.0717202,-0.042029712,-1.010765,0.0,0.873869,-0.041530445,-0.0010207696,-0.48438323,0.36345318,-1.0,1,0,0,0,0,0,0
344507844,-0.0714361,-0.047864433,-1.010765,0.0,0.87376714,-0.04281542,-0.0036410978,-0.4844426,0.32905242,-1.0,1,0,0,0,0,0,0
344611976,-0.07251934,-0.04780761,-1.010765,0.0,0.8737449,-0.043274947,-0.0033538637,-0.48444387,0.31058797,-1.0,1,0,0,0,0,0,0
344712577,-0.07318992,-0.046049617,-1.010765,0.0,0.8737639,-0.043143407,-0.0024226825,-0.48442686,0.30478388,-1.0,1,0,0,0,0,0,0
344811851,-0.06924315,-0.043234326,-1.010765,0.0,0.87389845,-0.04073907,-0.002147483,-0.48439363,0.30992743,-1.0,1,0,0,0,0,0,0
