timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
340363722,1574736262200091,372462577,1266671628,3201,21188,0.223,0.6548039,0.70000005,1.072,0.69,1.27,76,7,0.015000001,-0.010000001,0.012,-0.003,2.2916853,0,3,1,15
340575854,1574736262400091,372462578,1266671628,3187,21174,0.12900001,0.6548093,0.69900006,1.0680001,0.69,1.27,76,7,0.042000003,0.040000003,-0.012,0.0,2.2916853,0,3,1,15
340775546,1574736262600091,372462579,1266671627,3166,21153,0.23,0.6548189,0.697,1.064,0.69,1.27,76,7,0.013,0.013,0.001,0.029000001,2.2916853,0,3,1,15
340968545,1574736262800091,372462579,1266671628,3211,21198,0.22600001,0.65483075,0.69500005,1.062,0.69,1.27,76,7,0.116000004,-0.0050000004,0.116000004,-0.25800002,2.2916853,0,3,1,15
341184539,1574736263000091,372462580,1266671630,3244,21231,0.23600002,0.654859,0.69600004,1.062,0.69,1.27,76,5,0.16000001,0.071,0.14400001,-0.656,2.2916853,0,3,1,15
341372483,1574736263200091,372462584,1266671635,3413,21400,0.231,0.2815244,0.69600004,1.0600001,0.69,1.27,76,5,0.492,0.38900003,0.30100003,-1.253,0.9129436,0,3,1,15
341563760,1574736263400091,372462592,1266671643,3719,21706,0.24300002,0.27862853,0.69500005,1.0580001,0.69,1.27,76,5,0.532,0.347,0.40300003,-1.7520001,0.8863881,0,3,1,15
341773504,1574736263600091,372462596,1266671653,4203,22189,0.24200001,0.35183585,0.693,1.056,0.69,1.27,76,5,0.38900003,0.21300001,0.326,-2.1460001,0.9270696,0,3,1,15
341983154,1574736263800090,372462598,1266671661,4696,22683,0.252,0.38072053,0.69200003,1.0550001,0.69,1.27,76,5,0.37500003,0.066,0.36900002,-2.236,1.142519,0,3,1,15
342184499,1574736264000090,372462601,1266671669,5105,23092,0.259,0.36299407,0.69000006,1.0530001,0.69,1.27,81,10,0.40500003,0.054,0.40100002,-2.1650002,1.2968485,0,3,1,15
342369541,1574736264200090,372462601,1266671675,5606,23593,0.263,0.3631604,0.69000006,1.052,0.69,1.27,81,10,0.164,0.113000005,0.11800001,-2.1980002,1.2968485,0,3,1,15
342572769,1574736264400090,372462602,1266671679,6046,24033,0.26500002,0.6520314,0.689,1.051,0.69,1.27,81,10,0.24300002,-0.076000005,0.231,-2.3070002,1.4369802,0,3,1,15
342773475,1574736264600090,372462602,1266671684,6509,24496,0.261,0.6521298,0.688,1.049,0.69,1.27,81,10,0.19100001,0.067,0.179,-2.331,1.4369802,0,3,1,15
342963637,1574736264800090,372462602,1266671689,6990,24977,0.261,0.70356625,0.68600005,1.0480001,0.71999997,1.27,81,10,0.21800001,-0.066,0.208,-2.384,1.6418331,0,3,1,14
343184504,1574736265000090,372462602,1266671692,7456,25443,0.26200002,0.7036647,0.68500006,1.047,0.69,1.27,93,14,0.104,-0.038000003,0.097,-2.523,1.6418331,0,3,1,15
343377549,1574736265200090,372462602,1266671695,7926,25913,0.26200002,0.7037532,0.684,1.046,0.69,1.27,93,14,0.10700001,-0.0050000004,0.10700001,-2.269,1.6418331,0,3,1,15
343573494,1574736265400090,372462601,1266671697,8406,26393,0.26700002,0.70384187,0.684,1.046,0.69,1.27,93,14,0.13900001,-0.071,0.119,-2.272,1.6418331,0,3,1,15
